customer_id,state,state_full
1,IL,Illinois
2,IL,Illinois
3,IL,Illinois
4,IL,Illinois
5,IL,Illinois
6,IL,Illinois
7,IL,Illinois
8,IL,Illinois
9,IL,Illinois
10,IL,Illinois
11,IL,Illinois
12,IL,Illinois
13,IL,Illinois
14,IL,Illinois
15,IL,Illinois
16,IL,Illinois
17,IL,Illinois
18,IL,Illinois
19,IL,Illinois
20,IL,Illinois
21,IL,Illinois
22,IL,Illinois
23,IL,Illinois
24,IL,Illinois
25,IL,Illinois
26,IL,Illinois
27,IL,Illinois
28,IL,Illinois
29,IL,Illinois
30,IL,Illinois
31,IL,Illinois
32,IL,Illinois
33,IL,Illinois
34,IL,Illinois
35,IL,Illinois
36,IL,Illinois
37,IL,Illinois
38,IL,Illinois
39,IL,Illinois
40,IL,Illinois
41,IL,Illinois
42,IL,Illinois
43,IL,Illinois
44,IL,Illinois
45,IL,Illinois
46,IL,Illinois
47,IL,Illinois
48,IL,Illinois
49,IL,Illinois
50,IL,Illinois
51,IL,Illinois
52,IL,Illinois
53,IL,Illinois
54,IL,Illinois
55,IL,Illinois
56,IL,Illinois
57,IL,Illinois
58,IL,Illinois
59,IL,Illinois
60,IL,Illinois
61,IL,Illinois
62,IL,Illinois
63,IL,Illinois
64,IL,Illinois
65,IL,Illinois
66,IL,Illinois
67,IL,Illinois
68,IL,Illinois
69,IL,Illinois
70,IL,Illinois
71,CA,California
72,CA,California
73,CA,California
74,CA,California
75,CA,California
76,CA,California
77,CA,California
78,CA,California
79,CA,California
80,CA,California
81,CA,California
82,CA,California
83,CA,California
84,CA,California
85,CA,California
86,CA,California
87,CA,California
88,CA,California
89,CA,California
90,CA,California
91,CA,California
92,CA,California
93,CA,California
94,CA,California
95,CA,California
96,CA,California
97,CA,California
98,CA,California
99,CA,California
100,CA,California
101,CA,California
102,CA,California
103,CA,California
104,CA,California
105,CA,California
106,CA,California
107,CA,California
108,CA,California
109,CA,California
110,CA,California
111,CA,California
112,CA,California
113,CA,California
114,CA,California
115,CA,California
116,CA,California
117,CA,California
118,CA,California
119,CA,California
120,CA,California
121,CA,California
122,CA,California
123,CA,California
124,CA,California
125,CA,California
126,CA,California
127,CA,California
128,CA,California
129,CA,California
130,CA,California
131,CA,California
132,CA,California
133,CA,California
134,CA,California
135,CA,California
136,CA,California
137,CA,California
138,CA,California
139,CA,California
140,CA,California
141,NY,New York
142,NY,New York
143,NY,New York
144,NY,New York
145,NY,New York
146,NY,New York
147,NY,New York
148,NY,New York
149,NY,New York
150,NY,New York
151,NY,New York
152,NY,New York
153,NY,New York
154,NY,New York
155,NY,New York
156,NY,New York
157,NY,New York
158,NY,New York
159,NY,New York
160,NY,New York
161,NY,New York
162,NY,New York
163,NY,New York
164,NY,New York
165,NY,New York
166,NY,New York
167,NY,New York
168,NY,New York
169,NY,New York
170,NY,New York
171,NY,New York
172,NY,New York
173,NY,New York
174,NY,New York
175,NY,New York
176,NY,New York
177,NY,New York
178,NY,New York
179,NY,New York
180,NY,New York
181,NY,New York
182,NY,New York
183,NY,New York
184,NY,New York
185,NY,New York
186,NY,New York
187,NY,New York
188,NY,New York
189,NY,New York
190,NY,New York
191,NY,New York
192,NY,New York
193,NY,New York
194,NY,New York
195,NY,New York
196,NY,New York
197,NY,New York
198,NY,New York
199,NY,New York
200,NY,New York
201,NY,New York
202,NY,New York
203,NY,New York
204,NY,New York
205,NY,New York
206,NY,New York
207,NY,New York
208,NY,New York
209,NY,New York
210,NY,New York
211,KS,Kansas
212,KS,Kansas
213,KS,Kansas
214,KS,Kansas
215,KS,Kansas
216,KS,Kansas
217,KS,Kansas
218,KS,Kansas
219,KS,Kansas
220,KS,Kansas
221,KS,Kansas
222,KS,Kansas
223,KS,Kansas
224,KS,Kansas
225,KS,Kansas
226,KS,Kansas
227,KS,Kansas
228,KS,Kansas
229,KS,Kansas
230,KS,Kansas
231,KS,Kansas
232,KS,Kansas
233,KS,Kansas
234,KS,Kansas
235,KS,Kansas
236,KS,Kansas
237,KS,Kansas
238,KS,Kansas
239,KS,Kansas
240,KS,Kansas
241,KS,Kansas
242,KS,Kansas
243,KS,Kansas
244,KS,Kansas
245,KS,Kansas
246,KS,Kansas
247,KS,Kansas
248,KS,Kansas
249,KS,Kansas
250,KS,Kansas
251,KS,Kansas
252,KS,Kansas
253,KS,Kansas
254,KS,Kansas
255,KS,Kansas
256,KS,Kansas
257,KS,Kansas
258,KS,Kansas
259,KS,Kansas
260,KS,Kansas
261,KS,Kansas
262,KS,Kansas
263,KS,Kansas
264,KS,Kansas
265,KS,Kansas
266,KS,Kansas
267,KS,Kansas
268,KS,Kansas
269,KS,Kansas
270,KS,Kansas
271,KS,Kansas
272,KS,Kansas
273,KS,Kansas
274,KS,Kansas
275,KS,Kansas
276,KS,Kansas
277,KS,Kansas
278,KS,Kansas
279,KS,Kansas
280,KS,Kansas
281,NJ,New Jersey
282,NJ,New Jersey
283,NJ,New Jersey
284,NJ,New Jersey
285,NJ,New Jersey
286,NJ,New Jersey
287,NJ,New Jersey
288,NJ,New Jersey
289,NJ,New Jersey
290,NJ,New Jersey
291,NJ,New Jersey
292,NJ,New Jersey
293,NJ,New Jersey
294,NJ,New Jersey
295,NJ,New Jersey
296,NJ,New Jersey
297,NJ,New Jersey
298,NJ,New Jersey
299,NJ,New Jersey
300,NJ,New Jersey
301,NJ,New Jersey
302,NJ,New Jersey
303,NJ,New Jersey
304,NJ,New Jersey
305,NJ,New Jersey
306,NJ,New Jersey
307,NJ,New Jersey
308,NJ,New Jersey
309,NJ,New Jersey
310,NJ,New Jersey
311,NJ,New Jersey
312,NJ,New Jersey
313,NJ,New Jersey
314,NJ,New Jersey
315,NJ,New Jersey
316,NJ,New Jersey
317,NJ,New Jersey
318,NJ,New Jersey
