order_id,order_item_id,product_id,price_at_purchase,quantity
6550,1,1032,342.92,1
7324,2,1695,955.86,1
11952,3,1962,909.45,1
8938,4,1958,984.91,1
4238,5,1880,649.18,1
14235,6,672,695.76,1
10944,7,1,54.83,1
11075,8,827,320.24,1
13842,9,707,555.05,1
1126,10,1461,308.21,1
9699,11,566,901.42,1
3682,12,496,350.74,1
8310,13,204,957.72,1
6084,14,791,934.52,1
3161,15,1970,488.16,1
57,16,250,388.08,1
10706,17,164,321.96,1
11179,18,554,24.32,1
9585,19,1516,477.31,1
7661,20,904,53.1,1
1860,21,900,42.33,1
9492,22,1733,43.54,1
10454,23,1883,487.57,1
2853,24,716,44.45,1
51,25,1188,735.84,1
8481,26,1331,186.87,1
11997,27,1249,620.96,1
6792,28,781,812.89,1
8684,29,458,26.87,1
12854,30,205,827.86,1
7249,31,1983,333.81,1
9279,32,1014,241.51,1
6558,33,1319,316.05,1
5292,34,1378,123.95,1
7221,35,1157,782.15,1
8357,36,925,206.41,1
14041,37,1153,459.13,1
4657,38,1471,423.73,1
100,39,480,111.23,1
1802,40,1338,677.87,1
7789,41,375,465.42,1
3325,42,1920,475.69,1
2843,43,879,432.37,1
6400,44,182,947.32,1
11500,45,51,675.62,1
6897,46,1104,516.94,1
12382,47,1785,758.96,1
9976,48,1528,148.35,1
1809,49,173,628.97,1
5957,50,526,693.67,1
8450,51,550,721.84,1
14945,52,629,954.23,1
6813,53,904,913.78,1
12604,54,1389,507.4,1
1022,55,813,766.87,1
8662,56,717,122.74,1
14583,57,438,347.43,1
5606,58,366,314.02,1
6255,59,1418,26.88,1
14711,60,1347,394.39,1
9825,61,1479,630.44,1
10666,62,1067,386.69,1
14204,63,1242,405.54,1
4433,64,875,127.98,1
4050,65,1817,882.23,1
99,66,202,826.56,1
8827,67,659,422.47,1
7711,68,912,68.1,1
1036,69,468,854.47,1
7864,70,995,266.78,1
2235,71,1161,724.13,1
12274,72,463,730.52,1
12288,73,930,612.09,1
9367,74,429,508.83,1
4712,75,66,850.01,1
9791,76,1665,867.92,1
1424,77,48,52.13,1
7265,78,431,204.65,1
12572,79,309,762.91,1
1248,80,1351,41.84,1
8986,81,787,354.92,1
9748,82,1658,979.77,1
13222,83,1633,871.23,1
11479,84,632,990.41,1
1220,85,527,962.88,1
3619,86,1935,54.56,1
9813,87,1050,51.47,1
14800,88,1183,728.79,1
12770,89,1085,456.7,1
11725,90,498,638.45,1
14675,91,858,327.77,1
13133,92,1025,912.58,1
358,93,503,189.93,1
2244,94,1896,654.15,1
9399,95,1435,693.05,1
12581,96,575,733.15,1
8097,97,1261,935.29,1
12011,98,1424,836.12,1
12422,99,451,693.48,1
1504,100,176,695.96,1
12747,101,847,274.48,1
8445,102,1263,58.58,1
2111,103,1812,463.7,1
163,104,136,281.22,1
4385,105,1028,564.88,1
2233,106,1851,366.11,1
6485,107,347,369.88,1
10186,108,654,54.8,1
3986,109,783,791.36,1
11881,110,1753,331.96,1
4822,111,292,694.77,1
399,112,496,974.74,1
7464,113,707,623.7,1
4310,114,1709,554.63,1
6345,115,1104,126.97,1
14853,116,323,980.15,1
5053,117,1388,124.88,1
8658,118,1239,45.18,1
14941,119,605,405.58,1
11852,120,1662,696.82,1
6719,121,38,316.8,1
8836,122,267,913.09,1
1442,123,809,597.64,1
110,124,559,439.18,1
7440,125,1665,170.56,1
10364,126,688,646.55,1
805,127,1786,902.78,1
10816,128,1997,213.19,1
12195,129,1826,108.56,1
25,130,243,660.06,1
7022,131,566,921.78,1
11203,132,1457,962.27,1
10404,133,1320,283.22,1
12598,134,120,67.79,1
14612,135,1020,785.89,1
8811,136,383,326.87,1
11165,137,1023,681.06,1
8843,138,1435,751.15,1
13540,139,453,625.83,1
1519,140,29,991.71,1
11963,141,685,20.95,1
9297,142,1367,723.73,1
4795,143,505,419.09,1
2743,144,564,383.03,1
758,145,913,462.32,1
619,146,863,711.02,1
1895,147,1818,521.09,1
1863,148,65,690.08,1
1971,149,679,855.64,1
14965,150,990,668.39,1
13203,151,414,601.91,1
3237,152,1087,275.23,1
4317,153,995,750.78,1
6200,154,736,260.74,1
2060,155,1164,332.39,1
5192,156,230,390.76,1
2456,157,664,595.68,1
9613,158,131,978.68,1
4936,159,1022,672.59,1
9314,160,997,210.36,1
3024,161,730,828.39,1
11719,162,856,307.32,1
4994,163,1519,795.2,1
3118,164,718,92.9,1
12642,165,1231,189.3,1
4403,166,1356,307.27,1
11452,167,611,811.09,1
13117,168,1496,215.26,1
14701,169,1302,729.98,1
4496,170,1364,735.08,1
801,171,1092,288.47,1
12529,172,594,33.26,1
13304,173,55,487.73,1
10920,174,1465,173.15,1
14837,175,1361,928.09,1
5482,176,594,685.78,1
6076,177,529,94.58,1
12167,178,1319,228.54,1
8749,179,1042,627.19,1
12848,180,1407,944.88,1
6606,181,963,386.82,1
1341,182,147,225.59,1
9355,183,605,166.22,1
3934,184,516,237.73,1
12220,185,177,538.82,1
5135,186,89,464.03,1
5962,187,162,101.76,1
6520,188,1811,918.3,1
8385,189,1941,746.88,1
7319,190,659,748.08,1
14502,191,5,548.83,1
14058,192,1387,974.41,1
10023,193,652,338.36,1
11820,194,1422,158.26,1
4599,195,648,791.07,1
6660,196,1033,480.41,1
5814,197,1024,458.23,1
13995,198,854,110.03,1
2339,199,566,879.59,1
327,200,1130,622.32,1
3134,201,832,971.61,1
2034,202,434,416.78,1
7228,203,589,723.82,1
3777,204,1103,169.4,1
14350,205,1425,139.79,1
5177,206,1182,873.1,1
7399,207,1680,35.16,1
2311,208,364,644.95,1
3801,209,577,980.2,1
3794,210,1153,793.91,1
2973,211,383,439.5,1
7615,212,909,616.84,1
11586,213,1980,482.08,1
5848,214,762,710.99,1
1204,215,1696,762.11,1
10284,216,1619,845.49,1
10102,217,1005,714.15,1
9614,218,402,938.34,1
11784,219,489,191.38,1
7853,220,1350,80.33,1
11068,221,120,871.94,1
962,222,470,673.68,1
8727,223,1022,458.62,1
12243,224,1526,175.14,1
8707,225,1030,714.42,1
10390,226,737,583.19,1
7732,227,183,236.68,1
12466,228,773,724.06,1
12853,229,1173,653.71,1
1046,230,149,871.1,1
11460,231,302,999.24,1
13993,232,496,227.35,1
401,233,1097,345.94,1
6250,234,631,351.41,1
12533,235,797,250.58,1
14385,236,1382,347.17,1
8898,237,1022,171.03,1
14755,238,621,544.75,1
3546,239,254,771.98,1
14238,240,944,700.24,1
2076,241,1959,458.18,1
13783,242,1999,922.57,1
14096,243,765,580.77,1
12609,244,1678,445.57,1
1648,245,1921,415.32,1
3217,246,765,248.61,1
3796,247,995,920.86,1
2878,248,125,510.55,1
4772,249,1007,96.3,1
2636,250,515,947.89,1
3138,251,944,853.41,1
5540,252,1602,596.82,1
11682,253,1979,363.31,1
196,254,1377,950.76,1
13610,255,366,732.23,1
13368,256,1588,845.5,1
5270,257,334,626.23,1
4968,258,36,792.98,1
12931,259,928,253.91,1
11284,260,1705,966.7,1
10978,261,238,591.11,1
6530,262,1680,963.12,1
3441,263,1017,999.09,1
2509,264,546,499.08,1
13925,265,281,976.9,1
12693,266,1183,181.88,1
775,267,140,350.05,1
11067,268,1295,300.08,1
4023,269,420,739.89,1
2819,270,432,770.54,1
12087,271,1173,833.01,1
4459,272,1066,413.03,1
7489,273,943,566.34,1
6230,274,41,107.5,1
10439,275,369,985.22,1
8875,276,1760,765.3,1
7715,277,498,921.14,1
408,278,279,251.99,1
7473,279,1972,535.84,1
641,280,1424,997.77,1
550,281,864,117.62,1
13534,282,121,653.17,1
14375,283,321,344.09,1
6020,284,664,119.67,1
4237,285,1149,63.74,1
608,286,18,816.69,1
7024,287,705,447.71,1
12907,288,1611,906.97,1
14560,289,90,35.74,1
12057,290,1164,77.34,1
11833,291,215,279.13,1
9730,292,1642,955.23,1
2682,293,1420,426.18,1
5937,294,1073,815.51,1
12421,295,129,244.8,1
648,296,984,771.42,1
13064,297,861,840.39,1
5466,298,6,491.31,1
9030,299,563,757.68,1
14582,300,1916,983.83,1
9878,301,114,340.01,1
7219,302,92,815.06,1
14060,303,722,91.57,1
2245,304,98,944.53,1
2858,305,462,293.67,1
11046,306,1215,841.68,1
4476,307,1941,768.21,1
11787,308,1027,489.94,1
8100,309,704,669.31,1
4957,310,1593,276.72,1
2533,311,1149,790.14,1
2422,312,894,194.71,1
1727,313,1268,629.47,1
13492,314,858,652.59,1
7752,315,1773,944.71,1
9990,316,1245,899.19,1
11241,317,1390,966.61,1
6967,318,659,273.74,1
12372,319,1491,492.04,1
4522,320,1176,119.04,1
4789,321,1758,448.96,1
12321,322,981,727.99,1
491,323,1700,82.97,1
3175,324,1796,777.89,1
9088,325,839,393.27,1
9099,326,112,304.19,1
10917,327,1872,741.05,1
7372,328,55,232.61,1
976,329,185,979.25,1
2232,330,438,454.32,1
10234,331,578,553.35,1
12045,332,1205,549.43,1
8177,333,996,560.13,1
1891,334,355,193.49,1
6448,335,916,144.68,1
9886,336,314,822.73,1
14622,337,250,786.06,1
9173,338,1850,934.57,1
6536,339,375,138.28,1
1992,340,1796,436.81,1
14775,341,1092,31.97,1
9243,342,901,623.36,1
14441,343,357,445.54,1
9139,344,1334,973.56,1
10215,345,343,105.67,1
3970,346,1368,92.58,1
12118,347,1396,398.86,1
3086,348,1823,625.75,1
9807,349,1358,295.21,1
640,350,146,707.39,1
4299,351,1472,32.82,1
14091,352,758,950.73,1
12375,353,392,718.09,1
235,354,1559,67.76,1
10757,355,1135,956.71,1
8937,356,1211,646,1
2053,357,1254,190.33,1
12679,358,130,435.27,1
8027,359,1532,95.4,1
